ano,mes,nascidos_vivos
2008,1,14155
2008,2,14054
2008,3,15669
2008,4,15234
2008,5,15736
2008,6,14457
2008,7,14709
2008,8,14253
2008,9,14446
2008,10,14105
2008,11,13045
2008,12,14269
2009,1,14554
2009,2,14394
2009,3,16441
2009,4,15394
2009,5,14458
2009,6,13755
2009,7,14263
2009,8,14426
2009,9,15200
2009,10,14333
2009,11,13084
2009,12,13698
2010,1,14975
2010,2,14523
2010,3,16393
2010,4,14771
2010,5,15318
2010,6,14549
2010,7,14643
2010,8,13901
2010,9,14066
2010,10,13716
2010,11,13138
2010,12,14272
2011,1,15273
2011,2,14644
2011,3,16569
2011,4,15252
2011,5,16037
2011,6,14837
2011,7,14951
2011,8,14608
2011,9,13843
2011,10,13302
2011,11,13069
2011,12,14102
2012,1,14653
2012,2,14713
2012,3,16600
2012,4,14703
2012,5,15304
2012,6,14468
2012,7,14627
2012,8,14583
2012,9,14386
2012,10,14529
2012,11,13236
2012,12,14102
2013,1,14578
2013,2,14273
2013,3,15319
2013,4,15478
2013,5,15371
2013,6,14335
2013,7,14568
2013,8,14216
2013,9,13831
2013,10,13784
2013,11,13143
2013,12,14091
2014,1,15041
2014,2,14266
2014,3,15505
2014,4,15167
2014,5,15528
2014,6,14642
2014,7,15131
2014,8,14468
2014,9,14696
2014,10,13722
2014,11,13101
2014,12,14573
2015,1,15192
2015,2,14536
2015,3,16456
2015,4,15492
2015,5,15845
2015,6,14710
2015,7,14572
2015,8,14160
2015,9,14613
2015,10,13328
2015,11,13306
2015,12,14103
2016,1,14594
2016,2,14270
2016,3,15911
2016,4,15006
2016,5,15137
2016,6,14416
2016,7,13896
2016,8,13533
2016,9,13232
2016,10,12496
2016,11,11914
2016,12,12898
2017,1,12997
2017,2,13370
2017,3,15523
2017,4,14636
2017,5,15644
2017,6,14771
2017,7,14413
2017,8,13890
2017,9,13863
2017,10,13419
2017,11,13142
2017,12,13631
2018,1,14762
2018,2,13707
2018,3,15375
2018,4,14407
2018,5,15152
2018,6,13647
2018,7,13501
2018,8,13461
2018,9,13216
2018,10,12880
2018,11,12508
2018,12,12739
2019,1,13760
2019,2,13033
2019,3,14479
2019,4,13711
2019,5,14390
2019,6,13147
2019,7,13314
2019,8,13256
2019,9,12894
2019,10,12123
2019,11,11866
2019,12,12614
2020,1,12941
2020,2,12184
2020,3,13496
2020,4,12947
2020,5,12891
2020,6,12139
2020,7,12241
2020,8,11947
2020,9,12157
2020,10,11471
2020,11,11220
2020,12,11499
